Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.059,209.755,213.81,165.979,160.034,170.207,175.367,171.07,144.294,151.459,150.135,2019
Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"4,813.29","5,263.19","5,761.06","6,109.43","6,476.33","6,729.56","6,671.01","6,614.10","6,522.14","6,930.65","7,154.28","7,130.53","7,232.60","7,080.38","7,009.58","7,282.54","7,561.34","7,648.09","8,001.35","8,248.60","8,598.20","8,919.38","9,427.78","10,142.19","10,701.65","11,512.11","11,880.94","12,422.76","12,688.57","12,744.57","13,095.66","13,480.05","13,263.91","13,003.31","12,940.00","11,944.99","11,543.30","11,644.06","11,823.84","11,894.86","11,112.19","11,432.75","11,809.72",2019
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,6.639,6.214,6.214,6.476,6.864,8.457,7.918,9.05,9.818,11.421,12.571,12.186,9.395,6.819,4.965,6.197,7.994,9.388,7.958,7.526,11.166,10.93,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.124,105.902,89.603,62.44,66.493,68.532,2019
Angola,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,223.56","1,246.69","1,289.60","1,360.77","1,455.97","1,379.59","1,407.95","1,464.26","1,566.38","1,585.00","1,546.31","1,739.59","1,924.38","2,122.40","2,325.78","2,544.31","2,797.36","2,963.68","3,046.25","3,065.68","3,135.87","3,242.16","3,634.49","3,701.62","4,094.78","4,715.43","5,261.30","5,980.16","6,579.81","6,492.13","6,686.33","6,857.29","7,623.61","7,948.02","8,507.96","7,668.51","7,449.18","7,681.96","7,478.85","7,346.30","6,931.86","6,878.13","6,991.53",2017
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,2.302,1.557,1.542,1.365,1.456,1.58,2.036,2.43,2.552,2.37,2.89,2.954,3.284,3.199,2.227,2.993,3.251,3.124,3.362,3.681,3.522,3.666,4.191,5.348,6.187,6.571,7.034,8.17,9.787,9.728,9.543,10.691,11.148,12.518,13.288,11.389,11.818,12.697,14.257,14.392,15.193,17.327,19.056,2019
Benin,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,985.968,"1,063.19","1,113.66","1,098.41","1,107.70","1,154.01","1,172.06","1,140.75","1,183.11","1,160.18","1,271.44","1,324.49","1,347.05","1,409.24","1,418.96","1,486.51","1,530.29","1,596.85","1,629.85","1,675.25","1,759.72","1,837.80","1,895.00","1,936.88","2,015.64","2,052.52","2,135.26","2,258.49","2,347.92","2,353.63","2,364.12","2,416.33","2,498.50","2,669.69","2,833.41","2,886.83","3,004.81","3,044.51","3,235.22","3,422.71","3,436.72","3,572.95","3,767.48",2017
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,1.175,1.038,1.095,1.21,1.201,1.118,1.516,2.376,3.084,3.444,3.803,3.806,3.932,3.961,4.261,4.732,4.881,5.024,4.819,5.485,5.803,5.514,5.456,7.539,8.966,10.013,10.175,10.941,11.028,10.272,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383,18.664,18.339,15.91,18.726,20.137,2019
Botswana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,892.66","2,200.00","2,610.33","2,898.26","3,084.57","3,305.06","3,532.05","4,011.15","4,944.47","5,189.40","5,645.92","6,021.48","5,972.39","6,186.45","6,105.22","6,506.41","6,847.43","7,357.73","7,339.32","8,011.08","8,211.59","8,287.65","8,812.94","9,278.77","9,669.61","10,294.86","11,340.97","12,435.69","13,280.95","12,191.29","13,220.29","14,252.70","13,590.48","14,707.71","16,300.84","15,547.18","17,260.30","17,253.31","18,080.67","18,571.81","16,892.81","18,112.63","19,123.51",2019
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,2.386,2.076,1.934,1.767,1.579,1.746,2.29,2.665,2.942,2.942,3.488,3.526,3.775,3.599,2.164,2.676,2.909,2.753,3.155,3.388,2.961,3.19,3.62,4.74,5.449,6.15,6.548,7.627,9.45,9.44,10.118,12.078,12.569,13.444,13.947,11.833,12.819,14.165,16.207,15.746,16.541,18.853,20.568,2018
Burkina Faso,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,376.154,412.874,433.773,434.271,445.587,498.604,535.066,532.934,568.6,587.874,590.291,648.024,646.684,666.61,671.238,704.865,775.102,815.261,860.233,910.582,921.941,976.159,"1,005.43","1,072.47","1,117.47","1,215.57","1,291.48","1,339.74","1,401.96","1,411.13","1,502.10","1,586.57","1,619.40","1,683.11","1,692.30","1,713.52","1,893.70","2,053.51","2,182.75","2,282.26","2,262.43","2,333.82","2,439.83",2018
Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,8.193,9.281,8.901,8.972,9.482,9.903,12.909,14.952,15.184,13.539,13.553,15.112,13.851,14.451,9.833,9.326,10.393,10.509,10.495,10.695,9.802,10.377,11.588,14.558,17.44,17.974,19.374,22.397,26.514,26.094,26.191,29.37,29.121,32.358,34.999,30.932,32.635,34.997,38.712,38.863,39.02,44.893,48.074,2019
Cameroon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,174.65","1,462.49","1,624.58","1,755.69","1,903.75","2,068.04","2,192.47","2,137.42","1,980.69","1,962.40","1,852.72","1,788.20","1,720.73","1,655.95","1,601.37","1,642.96","1,707.42","1,779.34","1,836.05","1,885.43","1,941.70","2,017.01","2,079.76","2,156.69","2,302.12","2,357.04","2,444.75","2,562.27","2,629.88","2,634.68","2,681.89","2,773.90","2,855.45","3,002.61","3,185.38","3,260.52","3,405.06","3,554.52","3,690.07","3,801.23","3,646.46","3,744.82","3,896.01",2010
Central African Republic,"Gross domestic product, current prices",U.S. dollars,Billions,0.714,0.743,0.719,0.69,0.67,0.883,1.158,1.275,1.372,1.354,1.572,1.498,1.494,1.309,0.858,1.117,1,0.979,1.036,1.039,0.868,0.899,0.983,1.188,1.31,1.413,1.538,1.755,2.033,2.059,2.141,2.435,2.512,1.692,1.896,1.696,1.825,2.072,2.28,2.277,2.366,2.718,2.964,2017
Central African Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,441.695,530.053,529.356,504.528,561.08,584.452,617.831,620.062,640.232,676.882,696.834,698.633,663.522,655.139,735.486,756.933,707.225,732.673,749.601,766.734,741.513,763.749,778.77,762.758,769.682,803.037,851.367,892.914,916.614,931.512,967.042,"1,012.66","1,102.13",738.466,720.351,787.043,851.014,912.808,955.87,985.154,979.403,"1,013.19","1,067.02",2004
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,0.738,0.873,0.844,0.844,0.907,0.983,1.211,1.372,1.604,1.515,1.826,1.809,1.886,1.648,1.335,1.636,1.819,1.748,1.975,1.739,1.572,1.936,2.257,3.102,5.003,6.676,7.451,8.687,10.43,9.315,10.701,12.183,12.411,12.994,14.003,10.952,10.202,10.079,11.036,10.934,10.742,12.531,13.269,2017
Chad,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,411.924,393.594,430.553,505.251,537.078,581.645,610.557,628.64,677.774,695.175,720.655,796.635,808.077,784.496,818.202,801.796,806.058,837.159,874.371,849.932,830.144,912.061,967.138,"1,087.36","1,436.84","1,547.16","1,549.08","1,587.92","1,613.79","1,638.31","1,821.02","1,799.70","1,735.75","1,574.01","1,684.14","1,820.08","1,682.04","1,600.06","1,626.29","1,654.19","1,611.00","1,621.11","1,652.15",2004
Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,68.606,59.726,64.939,52.378,34.951,31.943,35.84,33.932,39.314,40.006,41.448,40.25,36.333,47.45,25.746,25.021,32.099,28.819,21.089,19.147,19.077,7.246,8.72,9.022,10.275,12.069,14.376,16.778,19.548,18.495,21.541,25.853,29.35,32.695,35.911,37.915,36.64,37.615,47.099,50.418,49.077,55.088,58.17,2019
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,807.842,864.109,884.153,901.969,948.488,951.626,984.131,"1,002.33","1,009.20","1,002.47",940.635,861.878,759.158,646.803,597.889,607.323,589.727,527.211,502.437,480.697,438.31,426.097,432.288,450.464,478.193,506.78,532.457,562.459,589.641,591.614,620.695,655.852,657.466,741.084,837.168,893.471,951.455,"1,046.71","1,098.17","1,129.69","1,106.37","1,132.13","1,175.84",2019
Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,2.165,1.775,1.548,1.407,1.294,1.327,1.815,2.205,2.346,2.478,2.909,3.035,3.28,3.004,2.068,2.457,2.84,2.568,2.24,2.646,3.624,3.038,3.33,3.863,5.101,6.654,8.073,8.784,11.649,9.713,13.159,15.653,17.704,17.959,17.918,11.891,10.159,11.11,13.402,12.542,10.232,12.022,12.366,2018
Republic of Congo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,928.42","2,101.15","2,216.33","2,287.62","2,353.80","2,411.10","2,441.88","2,483.84","3,040.90","3,606.19","3,665.26","3,802.31","3,952.73","3,999.62","3,929.53","4,069.27","4,184.03","4,110.68","4,418.52","4,212.18","4,695.05","4,455.25","4,458.85","4,451.20","4,450.75","4,889.88","5,307.52","4,965.49","5,250.05","5,761.66","6,251.38","6,363.66","7,436.64","7,123.20","6,959.39","5,444.90","4,484.13","4,986.53","4,661.52","4,600.23","4,187.54","4,168.84","4,200.87",2018
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,250.253,302.335,361.847,394.284,429.573,2020
