Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.7,-5.744,-3.149,3.733,2,-6.951,7.146,2.529,-1.957,-7.007,-1.338,10.498,10.299,6.251,5.83,-2.845,5.527,8.111,3.85,-3.385,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.565,-2.088,-9.956,5.839,2.475,2019
Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.61,0.3,-3.939,-4.042,-0.201,-1.676,-2.574,2.463,2.91,3.79,4.636,5.267,1.646,4.269,4.667,4.678,4.361,4.954,5.029,0.427,2.508,1.684,2.486,2.711,4.173,4.421,4.797,4.564,6.148,3.357,4.127,5.204,5.122,6.796,5.461,4.857,4.264,4.195,4.224,2.217,-7.7,5.5,4.2,2019
Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.19,-4.4,0.596,-3.4,5.307,7.901,7.544,3.601,0.264,3.2,-4.168,1.031,-0.467,4.665,5.334,4.417,2.209,3.395,0.338,0.468,4.388,1.39,3.053,1.141,5.76,3.202,3.962,6.07,5.094,-0.126,7.528,3.974,1.921,3.005,0.504,-3.546,-3.276,1.323,1.784,1.411,-4.059,3.655,2.565,2020
Chile,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.945,6.212,-13.588,-2.802,5.886,1.968,5.596,6.581,7.288,10.605,3.671,7.715,11.132,6.722,5.062,8.844,6.872,7.416,4.356,-0.456,5.335,3.301,3.096,4.09,7.202,5.742,6.316,4.912,3.567,-1.588,5.824,6.119,5.332,4.047,1.766,2.295,1.723,1.154,3.719,1.02,-5.841,6.174,3.822,2020
Colombia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.429,2.277,0.948,1.574,3.351,3.107,5.824,5.369,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.717,6.738,3.283,1.14,4.494,6.948,3.913,5.134,4.499,2.956,2.087,1.359,2.564,3.281,-6.847,5.15,3.617,2020
Costa Rica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.752,-2.26,-7.285,2.859,8.028,0.722,5.536,4.765,3.432,5.666,3.6,2.263,9.201,7.097,4.519,4.154,1.35,5.476,7.155,4.215,3.869,3.491,3.417,4.317,4.425,3.977,7.327,8.215,4.738,-0.873,5.36,4.403,4.883,2.495,3.542,3.652,4.204,4.158,2.056,2.168,-4.796,2.595,3.296,2019
Dominican Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.969,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.05,6.927,6.659,4.667,6.983,5.052,-6.731,5.481,4.961,2019
Ecuador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.9,3.9,1.2,-2.8,4.2,4.4,3.094,-5.972,10.486,0.285,3.008,5.113,3.614,2,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.289,0.012,-7.5,2.502,1.297,2019
El Salvador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-8.625,-5.725,-6.306,1.535,1.337,0.616,0.19,2.513,1.878,0.962,4.831,1.498,7.021,5.817,4.692,4.733,0.816,3.136,2.652,2.164,1.126,0.877,1.577,1.566,0.889,2.709,4.342,1.861,2.128,-2.086,2.105,3.815,2.814,2.236,1.711,2.395,2.547,2.25,2.431,2.382,-8.58,4.2,2.84,2019
Guatemala,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.7,0.644,-3.542,-2.528,0.51,-0.6,0.1,3.579,3.892,3.943,3.101,3,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,4.244,2.617,2.969,3.065,5.575,6.049,3.662,0.632,2.806,4.445,3.148,3.485,4.444,4.092,2.678,3.023,3.215,3.846,-1.5,4.5,4.001,2019
Haiti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.345,1.056,-2.797,-1.5,0.201,0.757,0.273,-0.432,0.559,-1.131,-0.44,1.262,-2.251,-4.922,-11.603,9.892,4.143,2.705,2.182,2.71,0.87,-0.334,0.924,3.359,-1.233,3.618,1.745,5.57,2.478,6.313,-3.805,6.154,0.553,3.085,3.402,1.617,1.723,2.286,1.668,-1.682,-3.7,1,1,2019
Honduras,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.668,2.533,-1.391,-0.924,4.346,4.188,0.723,6.031,4.61,4.326,0.097,3.252,5.624,6.23,-1.303,4.08,3.578,4.994,2.902,-0.736,7.291,2.723,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.058,3.84,3.893,4.843,3.697,2.651,-8,4.5,3.3,2019
Mexico,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.482,8.526,-0.521,-3.486,3.411,2.188,-3.079,1.722,1.283,4.106,5.176,4.215,3.541,2.738,4.941,-6.291,6.773,6.847,5.164,2.754,4.942,-0.404,-0.04,1.446,3.921,2.308,4.495,2.291,1.144,-5.286,5.118,3.663,3.642,1.354,2.85,3.293,2.631,2.113,2.195,-0.055,-8.239,5.004,3.002,2020
Nicaragua,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.612,5.361,-0.817,4.615,-1.566,-4.084,-1.015,-0.706,-12.4,-1.694,-0.132,-0.154,0.4,-0.4,5,5.912,6.344,3.967,3.712,7.036,4.102,2.961,0.754,2.521,5.312,4.282,3.805,5.076,3.436,-3.293,4.41,6.317,6.496,4.927,4.785,4.792,4.563,4.631,-3.95,-3.879,-3,0.237,2.7,2019
Panama,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.5,9.207,5.348,-4.491,2.709,4.942,3.568,-1.809,-13.38,1.562,8.099,9.418,8.203,5.456,2.849,1.752,7.371,6.48,7.332,3.878,2.737,0.558,2.247,4.226,7.508,7.181,8.541,12.111,9.856,1.243,5.828,11.314,9.779,6.903,5.067,5.733,4.953,5.591,3.598,3.04,-17.949,12.045,5,2019
Paraguay,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.712,9.17,-1.398,-3.043,2.817,3.872,0.263,4.072,5.881,5.817,4.12,3.49,1.696,4.936,5.318,6.823,1.574,4.243,0.068,-1.366,-2.314,-0.834,-0.021,4.321,4.057,2.133,4.807,5.422,6.359,-0.258,11.144,4.249,-0.539,8.417,4.861,3.08,4.313,4.954,3.356,-0.03,-0.9,4,4,2019
Peru,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.661,5.461,-0.324,-9.329,3.801,2.089,12.106,7.738,-9.422,-13.422,-5.09,2.219,-0.541,5.244,12.308,7.411,2.799,6.476,-0.392,1.495,2.695,0.617,5.454,4.165,4.959,6.285,7.529,8.518,9.143,1.049,8.451,6.452,5.951,5.837,2.394,3.274,4.363,2.125,3.963,2.226,-11.115,8.498,5.159,2020
Uruguay,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.975,1.9,-9.34,-3.281,-1.092,1.475,8.857,7.933,1.467,1.104,0.297,3.539,7.932,2.658,7.281,-1.448,5.578,5.048,4.28,-2.965,-1.776,-3.461,-7.051,2.327,4.64,6.806,4.099,6.542,7.176,4.243,7.803,5.162,3.538,4.638,3.239,0.371,1.69,1.628,0.478,0.331,-5.7,3,3.1,2019
