Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Argentina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",1.291,1.196,1.156,1.171,1.144,1.028,1.064,1.051,0.986,0.885,0.839,0.905,0.899,0.936,0.963,0.902,0.917,0.953,0.963,0.899,0.852,0.795,0.689,0.721,0.746,0.775,0.795,0.823,0.832,0.786,0.822,0.837,0.819,0.809,0.771,0.779,0.766,0.854,0.804,0.767,0.715,0.715,0.702,2019
Bolivia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.08,0.079,0.076,0.071,0.068,0.064,0.06,0.06,0.059,0.059,0.059,0.061,0.056,0.057,0.058,0.058,0.059,0.059,0.061,0.059,0.058,0.057,0.057,0.056,0.056,0.055,0.055,0.055,0.056,0.059,0.058,0.059,0.061,0.066,0.069,0.07,0.072,0.077,0.078,0.078,0.074,0.074,0.074,2019
Brazil,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",4.269,4.013,4.028,3.798,3.832,3.994,4.15,4.141,3.973,3.955,3.641,3.593,3.221,3.305,3.381,3.406,3.352,3.332,3.254,3.16,3.148,3.117,3.123,3.035,3.049,3.003,2.965,2.985,3.049,3.057,3.122,3.118,2.994,2.983,2.924,2.709,2.544,2.481,2.44,2.41,2.395,2.345,2.304,2020
Chile,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.287,0.3,0.259,0.245,0.249,0.245,0.25,0.257,0.264,0.281,0.28,0.295,0.295,0.309,0.315,0.331,0.341,0.352,0.357,0.344,0.345,0.348,0.349,0.349,0.356,0.359,0.362,0.361,0.363,0.359,0.361,0.368,0.374,0.375,0.371,0.366,0.358,0.359,0.36,0.354,0.345,0.346,0.344,2020
Colombia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.587,0.591,0.595,0.59,0.584,0.582,0.595,0.604,0.601,0.6,0.601,0.601,0.565,0.585,0.598,0.607,0.596,0.593,0.58,0.537,0.528,0.524,0.522,0.521,0.522,0.521,0.528,0.535,0.537,0.546,0.541,0.556,0.553,0.563,0.573,0.567,0.582,0.575,0.57,0.573,0.554,0.55,0.546,2020
Costa Rica,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.061,0.059,0.055,0.055,0.057,0.055,0.056,0.057,0.056,0.057,0.057,0.057,0.056,0.059,0.06,0.06,0.058,0.059,0.062,0.062,0.062,0.062,0.063,0.063,0.062,0.062,0.063,0.065,0.066,0.066,0.066,0.066,0.067,0.068,0.071,0.074,0.079,0.08,0.079,0.079,0.078,0.075,0.075,2019
Dominican Republic,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.103,0.105,0.107,0.109,0.106,0.1,0.1,0.106,0.104,0.105,0.095,0.094,0.094,0.099,0.098,0.1,0.102,0.107,0.111,0.114,0.114,0.114,0.116,0.11,0.107,0.112,0.116,0.118,0.118,0.12,0.123,0.122,0.118,0.119,0.126,0.136,0.145,0.145,0.149,0.153,0.148,0.147,0.148,2019
Ecuador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.195,0.199,0.201,0.191,0.19,0.192,0.191,0.173,0.183,0.177,0.175,0.18,0.168,0.168,0.17,0.168,0.164,0.165,0.166,0.153,0.147,0.149,0.151,0.149,0.154,0.154,0.153,0.148,0.153,0.155,0.152,0.158,0.159,0.167,0.171,0.161,0.158,0.16,0.157,0.153,0.146,0.142,0.138,2019
El Salvador,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.076,0.07,0.066,0.065,0.063,0.061,0.059,0.059,0.057,0.056,0.056,0.056,0.054,0.056,0.056,0.057,0.055,0.055,0.055,0.054,0.052,0.052,0.051,0.05,0.048,0.047,0.046,0.045,0.044,0.044,0.042,0.042,0.041,0.041,0.042,0.043,0.044,0.044,0.044,0.044,0.041,0.041,0.04,2019
Guatemala,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.144,0.142,0.137,0.13,0.125,0.12,0.116,0.116,0.115,0.116,0.115,0.115,0.109,0.11,0.111,0.111,0.11,0.11,0.112,0.113,0.11,0.11,0.112,0.11,0.108,0.106,0.106,0.107,0.108,0.109,0.106,0.107,0.107,0.107,0.109,0.115,0.113,0.11,0.11,0.111,0.113,0.112,0.111,2019
