Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,361.21","6,671.43","3,257.85","3,962.74","4,374.78","3,248.75","3,857.03","3,909.98","4,524.50","2,867.31","4,857.80","6,429.45","7,653.71","7,796.24","8,378.74","8,295.12","8,645.46","9,196.52","9,283.18","8,709.07","8,638.54","8,085.36","2,997.62","3,761.09","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,618.33","11,624.89","9,890.31","8,554.64","9,121.56","9,391.04",2019
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",695.535,615.66,668.55,619.896,631.152,668.921,640.939,683.624,712.146,715.525,723.42,777.891,804.735,795.05,804.712,885.679,955.574,"1,005.87","1,057.72","1,010.58","1,005.41",959.844,914.958,918.468,979.59,"1,049.06","1,240.94","1,399.80","1,749.20","1,789.60","1,994.91","2,394.79","2,664.57","2,920.52","3,096.84","3,050.65","3,094.99","3,368.76","3,565.50","3,566.42","3,359.73","3,624.15","3,855.82",2017
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,229.88","1,382.55","1,446.23","1,134.93","1,105.85","1,719.52","1,955.07","2,087.45","2,289.42","3,087.93","3,106.12","2,677.84","2,523.74","2,787.16","3,495.24","4,851.99","5,204.57","5,321.14","5,123.55","3,501.44","3,772.05","3,177.94","2,856.03","3,089.14","3,660.02","4,819.87","5,921.18","7,390.65","8,878.36","8,649.58","11,333.02","13,295.90","12,424.95","12,358.34","12,175.68","8,846.48","8,757.31","9,978.09","9,194.15","8,932.39","6,783.05","7,010.84","7,643.80",2019
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,579.92","3,004.73","2,204.38","1,762.22","1,687.02","1,424.36","1,504.43","1,743.88","2,021.05","2,289.45","2,503.87","2,829.74","3,368.27","3,547.02","4,030.06","5,117.70","5,349.58","5,743.72","5,446.55","4,952.87","5,071.70","4,572.86","4,443.76","4,770.33","6,193.09","7,600.35","9,473.01","10,507.91","10,748.98","10,220.07","12,794.28","14,610.79","15,307.79","15,804.44","14,643.45","13,570.89","13,779.04","15,033.26","15,862.05","14,615.95","12,989.60","15,617.13","16,458.66",2019
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,634.01","1,741.39","1,824.79","1,775.30","1,717.02","1,576.93","1,547.01","1,577.32","1,665.56","1,645.34","1,642.44","1,663.07","1,929.38","2,145.63","2,648.35","2,947.97","3,046.79","3,301.51","3,001.96","2,596.72","2,462.51","2,390.50","2,354.59","2,246.96","2,745.83","3,394.81","3,727.42","4,694.82","5,455.54","5,168.38","6,295.29","7,274.74","7,957.83","8,108.78","7,998.83","6,088.67","5,799.62","6,327.38","6,704.75","6,419.48","5,335.59","5,752.67","6,045.22",2019
Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,108.75","1,111.35","1,071.94","1,257.36","1,421.16","1,478.37","1,611.32","1,612.56","1,598.04","1,763.48","1,880.75","2,305.41","2,684.09","2,926.91","3,110.15","3,336.71","3,277.61","3,450.91","3,653.15","3,715.41","3,941.14","4,041.94","4,122.83","4,227.82","4,483.59","4,756.34","5,309.27","6,194.05","6,993.90","6,879.27","8,268.86","9,270.57","10,107.45","10,764.53","10,853.64","11,635.20","11,986.92","12,185.26","12,412.15","12,599.21","11,982.28","11,805.84","12,318.73",2019
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,534.32","1,677.45","1,545.10","1,562.13","2,397.60","1,022.61","1,212.35","1,245.27","1,113.84","1,230.74","1,123.24","1,365.23","1,573.69","1,741.67","1,916.44","2,141.06","2,309.92","2,495.03","2,658.54","2,674.83","2,894.30","3,007.38","3,158.39","2,460.55","2,540.85","4,008.36","4,188.72","4,803.47","5,194.80","5,151.17","5,688.75","6,063.35","6,274.87","6,413.93","6,805.66","7,139.51","7,521.27","7,874.94","8,340.96","8,595.61","7,530.19","7,951.35","8,452.84",2019
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,097.14","2,087.38","2,026.38","1,732.50","1,794.73","2,044.31","1,461.92","1,332.15","1,234.67","1,182.53","1,173.13","1,286.62","1,375.71","1,572.84","1,858.32","1,980.37","2,037.13","2,253.23","2,257.86","1,598.77","1,461.84","1,909.42","2,180.39","2,434.98","2,700.12","3,025.01","3,351.48","3,588.31","4,267.47","4,241.94","4,633.25","5,192.88","5,664.89","6,030.50","6,347.00","6,099.35","6,046.30","6,216.61","6,318.48","6,260.60","5,520.36","5,665.18","5,768.78",2019
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",827.158,721.104,706.494,672.516,488.784,471.502,469.937,472.147,543.469,611.47,914.131,983.18,"1,073.31","1,216.70","1,380.71","1,585.11","1,684.79","1,778.84","1,886.36","1,930.62","2,001.54","2,072.30","2,124.11","2,209.50","2,278.43","2,428.57","2,631.82","2,786.16","2,933.40","2,858.48","2,983.23","3,266.01","3,428.41","3,509.53","3,589.04","3,705.58","3,805.99","3,910.26","4,067.66","4,186.96","3,794.31","4,031.27","4,193.97",2018
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,070.29","1,140.22","1,126.19","1,139.96","1,163.06","1,338.72",705.756,796.958,841.77,946.757,808.88,966.003,"1,045.43","1,110.00","1,228.97","1,348.88","1,408.23","1,559.65","1,656.36","1,527.24","1,555.64","1,654.98","1,795.75","1,847.27","1,951.80","2,151.72","2,336.91","2,556.73","2,873.11","2,654.06","2,836.01","3,172.05","3,267.78","3,397.54","3,632.03","3,825.88","3,982.17","4,230.85","4,235.78","4,354.34","4,288.75","4,439.46","4,538.16",2019
