Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,268.61","2,305.51","2,254.33","2,316.68","2,432.72","2,753.70","2,698.92","2,705.11","2,143.74","2,127.87","2,473.51","1,819.98","1,873.42","1,894.95","1,542.97","1,499.14","1,643.27","1,658.73","1,633.09","1,630.07","1,794.70","1,768.58","1,806.86","2,128.39","2,636.31","3,141.03","3,508.96","3,986.56","4,943.50","3,886.06","4,480.72","5,453.89","5,575.65","5,477.06","5,466.33","4,153.32","3,918.94","4,079.65","4,118.74","3,939.54","3,262.58","3,363.97","3,278.13",2019
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,"1,222.04","1,862.42","2,561.86","3,099.09","4,081.69","3,146.80","3,641.44","4,716.25","5,245.02","5,436.52","5,625.74","4,354.92","3,676.83","4,303.69","3,620.59","2,974.13","2,012.15","2,080.35","2,081.71",2017
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",633.148,413.922,397.573,340.867,352.495,370.342,462.434,535.192,544.339,491.147,580.414,573.656,615.86,579.433,389.725,506.863,533.492,497.342,519.561,552.37,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.317,"1,125.30","1,087.58","1,037.38","1,130.07","1,145.87","1,251.23","1,291.74","1,076.91","1,086.99","1,136.19","1,240.84","1,218.28","1,250.87","1,387.60","1,484.41",2017
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,199.22","1,039.43","1,057.51","1,126.87","1,079.24",968.951,"1,267.15","1,915.11","2,398.68","2,584.23","2,750.81","2,673.59","2,684.21","2,629.78","2,755.72","2,984.19","3,006.15","3,025.70","2,841.93","3,173.69","3,301.21","3,090.26","3,017.72","4,119.41","4,840.81","5,338.24","5,352.87","5,676.26","5,641.18","5,183.69","6,374.99","7,637.77","7,898.91","7,231.39","7,784.72","6,811.43","7,249.31","7,883.16","8,290.26","7,979.01","6,780.72","7,816.98","8,233.76",2019
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",349.672,297.167,270.123,240.72,209.724,225.945,288.783,327.429,352.096,342.864,395.875,389.6,406.069,376.711,220.468,265.238,280.453,258.109,287.604,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.126,643.334,623.497,648.365,751.041,758.481,787.482,793.051,653.393,687.48,738.014,820.533,774.873,790.968,876.031,928.709,2018
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",930.182,"1,024.00",955.191,937.11,964.514,981.176,"1,244.63","1,401.71","1,382.90","1,196.77","1,161.86","1,256.80","1,117.82","1,132.11",748,690.153,748.158,735.872,714.919,708.662,631.788,651.44,708.445,866.493,"1,010.49","1,013.55","1,063.14","1,195.79","1,377.15","1,318.56","1,287.57","1,404.85","1,355.40","1,465.66","1,543.03","1,327.64","1,363.95","1,424.60","1,535.19","1,501.87","1,469.91","1,649.01","1,722.37",2010
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.563,479.846,489.869,552.343,590.847,2004
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,"1,024.84",776.105,700.558,671.18,713.034,685.677,653.98,740.829,762.001,2004
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,730.69","2,301.28","2,422.24","1,891.28","1,221.72","1,080.90","1,174.02","1,076.00","1,206.85","1,188.85","1,192.38","1,120.91",973.197,"1,222.44",639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,215.172,248.176,280.397,316.269,289.689,326.681,379.705,417.545,450.642,479.602,490.698,459.14,456.398,553.329,573.513,540.534,587.596,600.927,2019
Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,362.75","1,083.72",916.547,808.393,721.033,717.264,951.697,"1,121.61","1,157.52","1,150.77","1,310.37","1,326.74","1,398.92","1,249.63",839.501,973.005,"1,097.23",967.806,823.561,949.351,"1,268.42","1,037.33","1,109.28","1,255.57","1,617.33","2,058.30","2,436.38","2,586.30","3,346.18","2,722.04","3,597.96","4,175.34","4,607.39","4,559.73","4,438.24","2,873.72","2,395.18","2,555.44","3,007.47","2,745.80","2,185.58","2,505.11","2,514.05",2018
